[ 2025-12-18 11:23:55,971 ] 16 root - INFO - Data Ingestion started
[ 2025-12-18 11:23:57,368 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-12-18 11:23:57,368 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-18 11:23:57,368 ] 73 root - INFO - Exporting train and test file path.
[ 2025-12-18 11:23:57,410 ] 82 root - INFO - Exported train and test file path.
[ 2025-12-18 11:23:57,410 ] 18 root - INFO - Data Ingestion completed
[ 2025-12-18 11:23:57,416 ] 22 root - INFO - Data Validation initiated
[ 2025-12-18 11:23:57,478 ] 34 root - INFO - Required number of columns: 2
[ 2025-12-18 11:23:57,479 ] 35 root - INFO - Data frame has columns: 31
[ 2025-12-18 11:23:57,479 ] 34 root - INFO - Required number of columns: 2
[ 2025-12-18 11:23:57,479 ] 35 root - INFO - Data frame has columns: 31
[ 2025-12-18 11:23:57,584 ] 24 root - INFO - Data Validation completed
[ 2025-12-18 11:23:57,584 ] 27 root - INFO - Data Transformation initiated
[ 2025-12-18 11:23:57,584 ] 50 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-18 11:23:57,584 ] 52 root - INFO - Starting Data Transformation
[ 2025-12-18 11:23:57,648 ] 40 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2025-12-18 11:23:57,648 ] 43 root - INFO - Initiated KNNImputer object with {DATA_TRANSFORMATION_IMPUTER_PARAMS}
[ 2025-12-18 11:23:57,658 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-18 11:23:57,661 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-18 11:23:57,661 ] 84 root - INFO - Exited initiate_data_transformation method of DataTransformation class
[ 2025-12-18 11:23:57,662 ] 31 root - INFO - Data Transformation completed
[ 2025-12-18 11:23:57,662 ] 33 root - INFO - Model Trainer started
[ 2025-12-18 11:26:18,682 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-18 11:26:18,715 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-18 11:26:18,716 ] 113 root - INFO - Model Trainer Artifact: {model_trainer_artifact}
[ 2025-12-18 11:26:18,718 ] 37 root - INFO - Model Training artifact completed
