[ 2025-12-18 11:19:15,779 ] 16 root - INFO - Data Ingestion started
[ 2025-12-18 11:19:25,799 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-12-18 11:19:25,799 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-18 11:19:25,799 ] 73 root - INFO - Exporting train and test file path.
[ 2025-12-18 11:19:25,856 ] 82 root - INFO - Exported train and test file path.
[ 2025-12-18 11:19:25,856 ] 18 root - INFO - Data Ingestion completed
[ 2025-12-18 11:19:25,856 ] 22 root - INFO - Data Validation initiated
[ 2025-12-18 11:19:25,945 ] 34 root - INFO - Required number of columns: 2
[ 2025-12-18 11:19:25,946 ] 35 root - INFO - Data frame has columns: 31
[ 2025-12-18 11:19:25,946 ] 34 root - INFO - Required number of columns: 2
[ 2025-12-18 11:19:25,946 ] 35 root - INFO - Data frame has columns: 31
[ 2025-12-18 11:19:26,057 ] 24 root - INFO - Data Validation completed
[ 2025-12-18 11:19:26,057 ] 27 root - INFO - Data Transformation initiated
[ 2025-12-18 11:19:26,057 ] 50 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-18 11:19:26,057 ] 52 root - INFO - Starting Data Transformation
[ 2025-12-18 11:19:26,143 ] 40 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2025-12-18 11:19:26,143 ] 43 root - INFO - Initiated KNNImputer object with {DATA_TRANSFORMATION_IMPUTER_PARAMS}
[ 2025-12-18 11:19:26,153 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-18 11:19:26,156 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-18 11:19:26,156 ] 84 root - INFO - Exited initiate_data_transformation method of DataTransformation class
[ 2025-12-18 11:19:26,156 ] 31 root - INFO - Data Transformation completed
[ 2025-12-18 11:19:26,156 ] 33 root - INFO - Model Trainer started
